generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid
0.389139,4347.485530,0.136564,10.382063,64.818376,31.649576,7.678678,0.873567,99.106625,1.513207,2.088437,40.414064,0.025218,0.030635,0.074851,16.235,0.073957,349.92,24.62,109.3,0.017087,0.982913,0,1
0.677887,7696.444315,0.428272,13.972520,58.286577,32.866095,7.648242,0.652985,74.464791,1.427135,2.126573,28.193845,0.059747,0.118276,0.212506,12.430,0.264224,355.70,71.05,82.1,0.009587,0.990413,0,1
0.272822,5890.396309,0.445632,19.840303,57.381576,41.482385,7.741024,0.701835,74.145136,1.598396,1.877066,38.694416,0.021118,0.030405,0.057573,11.457,0.060300,362.77,19.63,89.4,0.009546,0.990454,0,1
0.231318,7452.122308,0.197554,17.073683,64.949590,44.787472,8.221712,0.813548,89.086748,1.301712,1.855144,38.561121,0.035295,0.057461,0.088436,16.253,0.095046,517.35,43.01,101.9,0.014679,0.985321,0,1
0.674057,3191.370105,0.324165,16.188055,73.952035,37.763063,7.464634,0.719679,58.024443,1.344479,2.254587,24.780861,0.019444,0.026331,0.061330,10.853,0.065274,302.41,17.43,90.3,0.009382,0.990618,0,1
0.437530,7057.259710,0.089127,19.510324,52.826914,28.200777,7.739719,0.915253,93.110020,1.629749,2.118113,25.625216,0.027484,0.043610,0.091089,11.851,0.098177,428.86,36.72,114.6,0.014369,0.985631,0,1
0.450031,7627.256006,0.424953,23.164780,58.863716,46.956793,7.474889,0.671584,58.786562,1.475688,1.779093,32.896676,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,84.4,0.011732,0.988268,0,1
0.616404,7396.203173,0.112724,18.193179,52.080250,21.541511,8.015971,0.622461,65.470024,1.364688,1.448912,20.748014,0.067487,0.143035,0.225293,10.125,0.287803,386.78,81.91,78.3,0.009450,0.990550,0,1
0.518375,5193.004751,0.106953,23.063905,50.179496,41.190861,7.520536,0.629183,69.900733,1.507098,1.962491,18.942167,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,79.2,0.009482,0.990518,0,1
0.599107,6218.955462,0.177949,15.364989,72.554810,36.921092,7.871591,0.620675,92.632385,1.555799,1.771798,32.101965,0.139064,0.094653,0.165827,11.704,0.193388,346.74,54.05,80.3,0.014508,0.985492,1,1
0.215637,7735.159253,0.365486,20.886677,77.922778,20.965798,8.155119,0.816143,53.450242,1.635558,1.447782,28.978517,0.016291,0.024240,0.061660,7.361,0.066231,314.01,18.20,102.3,0.013983,0.986017,0,1
0.407878,6635.803815,0.151505,22.779514,59.645778,40.670035,7.828288,0.776697,82.920634,1.497518,1.347684,22.372335,0.020426,0.032913,0.098469,6.650,0.106763,254.08,23.52,99.5,0.014225,0.985775,0,1
0.479365,6904.868840,0.245976,17.752846,80.605448,26.030787,7.421823,0.870593,63.192727,1.511484,1.743360,37.133904,0.047453,0.090062,0.129645,14.558,0.150771,591.92,72.13,109.0,0.009430,0.990570,0,1
0.369570,6728.972679,0.189898,18.697886,70.674331,44.863641,7.804099,0.866481,79.059866,1.549643,1.301439,27.981497,0.051082,0.095248,0.120563,17.810,0.135870,669.98,75.93,110.8,0.009469,0.990531,0,1
0.410092,5228.223258,0.298895,19.591312,79.258914,24.056954,8.037951,0.773113,59.214301,1.314435,1.986116,41.372984,0.038751,0.071874,0.098119,13.302,0.109734,554.27,51.12,96.9,0.009388,0.990612,0,1
0.182768,3336.986524,0.384203,19.298335,78.574046,28.165615,8.179956,0.763298,86.522170,1.715145,1.675877,24.151588,0.010904,0.011264,0.027598,8.283,0.027864,304.92,7.91,96.5,0.014136,0.985864,0,1
