generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.744407,2954.914941,0.158616,18.617029,67.743826,36.114779,0.748400,1.348447,0.601248,7.952814,0.662552,57.966229,1.646972,1.509900,39.997495,0.037717,0.066718,0.243816,5.467,0.265114,177.44,40.67,83.3,0.013123,0.986877,0,1,0.000000,0.000000,0.000000
1.333446,5801.975217,0.322382,22.589012,64.195889,29.221661,0.838417,1.386341,0.944417,7.555132,0.750746,77.720276,1.486353,2.119228,22.651609,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,94.2,0.009532,0.990468,0,1,0.000000,0.000000,0.000000
2.426153,6056.558789,0.144127,17.236510,69.787173,45.983956,0.850552,1.041402,0.920190,8.182475,0.747334,90.512778,1.505192,1.390929,18.550100,0.118045,0.259976,0.351864,14.572,0.538062,540.42,178.75,98.1,0.012441,0.987559,0,1,0.000000,0.000000,0.000000
1.519701,4915.575206,0.376274,15.724374,51.587805,43.796191,0.685596,1.177458,0.841745,7.491775,0.738980,69.576485,1.303521,2.111601,22.389242,0.018035,0.022818,0.094058,8.573,0.100998,175.46,15.51,93.2,0.013588,0.986412,0,1,0.000000,0.000000,0.000000
1.782150,6900.121913,0.280898,14.398663,72.565273,43.882290,0.697603,1.231265,0.258814,8.563708,0.860181,67.237585,1.478432,2.357676,20.945058,0.139550,0.310649,0.492889,14.317,0.820541,530.60,245.84,107.7,0.011212,0.988788,0,1,0.000000,0.000000,0.000000
2.457115,3696.062870,0.212633,13.500531,80.155878,47.929430,0.625894,1.395098,0.672898,7.842462,0.625739,76.368809,1.527225,1.375801,31.657842,0.083367,0.172820,0.300487,14.995,0.283546,352.23,99.49,81.7,0.009406,0.990594,0,1,0.000000,0.000000,0.000000
0.333225,5654.909594,0.153287,21.924008,67.062244,41.550599,0.792829,1.368282,0.283130,7.477187,0.826217,52.933111,1.324442,1.521033,36.360752,0.034943,0.056070,0.078825,16.995,0.086741,575.20,42.62,103.5,0.009319,0.990681,0,1,0.000000,0.000000,0.000000
1.339771,5341.979956,0.386446,23.122091,56.364987,36.926283,0.609883,1.320136,0.205168,7.499870,0.823532,71.590190,1.618450,2.216892,29.916654,-0.050000,0.000000,0.000000,0.003,0.000000,0.22,0.00,103.2,0.011393,0.988607,0,1,0.000000,0.000000,0.000000
1.850921,3973.711675,0.264643,22.652723,54.963004,34.938440,0.798089,1.214682,0.575421,8.199405,0.794788,51.596526,1.251795,2.238971,35.445049,0.073105,0.152311,0.197028,15.385,0.250693,601.33,111.37,99.6,0.009298,0.990702,0,1,0.000000,0.000000,0.000000
2.935164,6798.202771,0.336127,22.926103,81.402514,21.197646,0.835259,1.025604,0.010794,7.455378,0.648532,68.513025,1.643962,1.449362,35.954575,-0.050000,0.000000,0.000000,0.002,0.000000,0.16,0.00,81.6,0.009472,0.990528,0,1,0.000000,0.000000,0.000000
